,Neighbourhoods,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
21,"North Toronto West, Lawrence Park",Clothing Store,Coffee Shop,Yoga Studio,Ice Cream Shop,Salon / Barbershop,Restaurant,Pet Store,Park,Mexican Restaurant,Fast Food Restaurant
22,"Parkdale, Roncesvalles",Breakfast Spot,Gift Shop,Restaurant,Eastern European Restaurant,Dog Run,Bookstore,Dessert Shop,Bar,Movie Theater,Cuban Restaurant
23,"Queen's Park, Ontario Provincial Government",Coffee Shop,Sushi Restaurant,Yoga Studio,Nightclub,Smoothie Shop,Sandwich Place,Burrito Place,Restaurant,Café,College Auditorium
24,"Regent Park, Harbourfront",Coffee Shop,Pub,Bakery,Park,Café,Breakfast Spot,Theater,Yoga Studio,Event Space,Performing Arts Venue
25,"Richmond, Adelaide, King",Coffee Shop,Café,Restaurant,Deli / Bodega,Gym,Hotel,Thai Restaurant,Clothing Store,Steakhouse,Lounge
26,Rosedale,Park,Playground,Trail,Deli / Bodega,Ethiopian Restaurant,Escape Room,Electronics Store,Eastern European Restaurant,Donut Shop,Doner Restaurant
27,Roselawn,Home Service,Garden,Yoga Studio,Dessert Shop,Falafel Restaurant,Event Space,Ethiopian Restaurant,Escape Room,Electronics Store,Eastern European Restaurant
28,"Runnymede, Swansea",Coffee Shop,Café,Sushi Restaurant,Restaurant,Italian Restaurant,Pub,Pizza Place,Dessert Shop,School,Sandwich Place
29,St. James Town,Coffee Shop,Café,Cosmetics Shop,American Restaurant,Cocktail Bar,Gym,Hotel,Farmers Market,Italian Restaurant,Japanese Restaurant
30,"St. James Town, Cabbagetown",Coffee Shop,Café,Bakery,Italian Restaurant,Pizza Place,Restaurant,Pub,General Entertainment,Liquor Store,Beer Store
31,Stn A PO Boxes,Coffee Shop,Italian Restaurant,Seafood Restaurant,Restaurant,Café,Bakery,Beer Bar,Japanese Restaurant,Cocktail Bar,Art Gallery
32,Studio District,Coffee Shop,American Restaurant,Bakery,Brewery,Café,Gastropub,Yoga Studio,Fish Market,Park,Neighborhood
33,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",Coffee Shop,American Restaurant,Light Rail Station,Liquor Store,Restaurant,Bank,Bagel Shop,Supermarket,Sushi Restaurant,Fried Chicken Joint
34,"The Annex, North Midtown, Yorkville",Café,Sandwich Place,Coffee Shop,History Museum,Indian Restaurant,Flower Shop,Liquor Store,Pub,Middle Eastern Restaurant,BBQ Joint
35,The Beaches,Health Food Store,Trail,Pub,Neighborhood,Yoga Studio,Doner Restaurant,Discount Store,Distribution Center,Dog Run,Eastern European Restaurant
36,"The Danforth West, Riverdale",Greek Restaurant,Coffee Shop,Italian Restaurant,Ice Cream Shop,Furniture / Home Store,Bookstore,Yoga Studio,Japanese Restaurant,Indian Restaurant,Spa
37,"Toronto Dominion Centre, Design Exchange",Coffee Shop,Hotel,Café,Restaurant,Seafood Restaurant,Salad Place,Japanese Restaurant,American Restaurant,Italian Restaurant,Asian Restaurant
38,"University of Toronto, Harbord",Café,Bar,Italian Restaurant,Japanese Restaurant,Bookstore,Bakery,Yoga Studio,Beer Bar,Beer Store,Sandwich Place
